Official Code 2001 Edition,Act Number,Section of Act,Law Number,Type of Change,Act Type,Expiration Date,Bill Title,DCR Cite
04-0415,20-528,2,NA,"Note, New Sec",E,03/19/15,Early Learning Quality Improvement Network Emergency Amendment Act of 2014,62-00001
04-0561.01 - .16,20-348,201 - 216,20-139,New Section,,,Sexual Assault Victims’ Rights Amendment Act,61-05913
04-0561.16,20-348,301,20-139,Note,,,Sexual Assault Victims’ Rights Amendment Act,61-05913
04-0751.01,20-516,2(a),PEND,Amend,,,Dignity for Homeless Families Amendment Act,61-13077
04-0752.02,20-377,5123,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-0753.01,20-424,5102(c),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
04-0753.01,20-377,5102(c),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-0753.01,20-449,5102(c),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-0753.01,20-516,2(b),PEND,Amend,,,Dignity for Homeless Families Amendment Act,61-13077
04-0753.02,20-449,5102(d),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-0753.02,20-377,5102(d),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-0753.02,20-424,5102(d),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
04-0753.07,20-449,5162,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-0753.07,20-377,5172,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-0753.07,20-424,5162,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
04-0754.11,20-516,2(c),PEND,Amend,,,Dignity for Homeless Families Amendment Act,61-13077
04-0755.01,20-516,2(d),PEND,Amend,,,Dignity for Homeless Families Amendment Act,61-13077
04-0755.01,20-377,5102(d)[e],NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-0755.01,20-449,5102(e),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-0755.01,20-424,5102(e),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
04-0756.03,20-502,2,PEND,Note,,,"Plan for Comprehensive Services for Homeless Individuals at 425 2nd Street, N.W., Amendment Act of 2014",61-12687
04-0771.01,20-424,5112,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
04-0771.01,20-449,5112,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-0771.01,20-377,5122,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-1303.03e,20-560,2,PEND,Amend,,,Sex Trafficking of Minors Prevention Amendment Act,62-00479
04-1321.02,20-560,4,PEND,Amend,,,Sex Trafficking of Minors Prevention Amendment Act,62-00479
04-1323.01,20-560,5,PEND,New Section,,,Sex Trafficking of Minors Prevention Amendment Act,62-00479
04-1345.01 - .03,20-424,9029,PEND,Note,P,,FY 2015 Budget Support Act,61-09990
04-1345.01 - .03,20-424,9028,PEND,Repeal,P,,FY 2015 Budget Support Act,61-09990
04-1345.01 - .03,20-449,9028,NA,"Note, Repeal",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-1345.01 - .03,20-449,9029,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-1345.01 - .03,20-377,9029,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-1345.01 - .03,20-377,9028,NA,"Note, Repeal",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-1702.01,20-377,3032(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-1702.01,20-424,3032(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
04-1702.01,20-449,3032(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-1703.01,20-377,3032(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-1703.01,20-424,3032(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
04-1703.01,20-449,3032(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-1704.01,20-424,3032(c),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
04-1704.01,20-377,3032(c),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
04-1704.01,20-449,3032(c),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-751.01 et al.,20-516,3,PEND,Note,,,Dignity for Homeless Families Amendment Act,61-13077
04-752.02,20-449,5113,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
04-752.02,20-424,5113,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
05-0101,20-524,101,NA,Note,E,03/18/15,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Emergency Amendment Act of 2014,61-13112
05-0105.01,20-499,203,PEND,Note,P,,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Amendment Act of 2014,61-12582
05-0105.01,20-524,201(b),NA,Note,E,03/18/15,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Emergency Amendment Act of 2014,61-13112
05-0105.01,20-499,202,PEND,Amend,P,,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Amendment Act of 2014,61-12582
05-0107.04,20-491,6(b),PEND,Amend,,,Retired District Employee Annuity Amendment Act,61-12450
05-0129.21,20-481,253,NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
05-0129.71,20-424,3002,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
05-0129.71,20-449,3002,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
05-0129.71,20-377,3002,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
05-0335.01,20-420,3(a),PEND,Amend,,,Post-Arrest Process Clarification Amendment Act,61-08320
05-0335.02,20-420,3(b),PEND,New Section,,,Post-Arrest Process Clarification Amendment Act,61-08320
05-0335.03,20-420,3(b),PEND,New Section,,,Post-Arrest Process Clarification Amendment Act,61-08320
05-0401.01,20-424,3012,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
05-0401.01,20-377,3012,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
05-0401.01,20-449,3012,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
05-0405,20-377,3053,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
05-0405,20-449,3053,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
05-0405,20-424,3053,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
05-0710,20-491,4(a),PEND,Amend,,,Retired District Employee Annuity Amendment Act,61-12450
05-0713,20-491,4(b),PEND,Amend,,,Retired District Employee Annuity Amendment Act,61-12450
05-0722,20-491,3,PEND,Amend,,,Retired District Employee Annuity Amendment Act,61-12450
05-0723,20-491,4(c),PEND,Amend,,,Retired District Employee Annuity Amendment Act,61-12450
05-0805,20-561,3,PEND,Amend,,,Firefighter Retirement While Under Disciplinary Investigation Amendment Act of 2014,62-00485
05-1031,20-499,101,PEND,Amend,P,,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Amendment Act of 2014,61-12582
05-1041 - 05-1047,20-561,2(b),PEND,New Section,,,Firefighter Retirement While Under Disciplinary Investigation Amendment Act of 2014,62-00485
05-1402,20-424,3042,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
05-1402,20-449,3042,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
05-1402,20-377,3042,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
06-0201,20-481,254(a),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
06-0211,20-481,254(b),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
06-0212,20-481,254(c),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
06-1071 - 06-1073,20-377,9017(a),NA,"Note, Repeal",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
06-1071 - 06-1073,20-449,9017(a),NA,"Note, Repeal",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
06-1071 - 06-1073,20-424,9017(a),PEND,Repeal,P,,FY 2015 Budget Support Act,61-09990
06-1451.03,20-385,502,20-142,Note,,,Sustainable DC Omnibus Act,61-08045
06-1451.03,20-385,111,20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
07-0736.01,20-424,5012(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-0736.01,20-377,5012(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-0736.01,20-449,5012(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-0736.02,20-449,5012(b),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-0736.02,20-424,5012(b),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
07-0736.02,20-377,5012(b),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-0736.03,20-449,5012(b),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-0736.03,20-424,5012(b),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
07-0736.03,20-377,5012(b),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-0743.01 - .07,20-481,202(b),NA,"Note, New Sec",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
07-0755.01 - .04,20-484,2 - 5,PEND,New Section,,,Commission on Health Disparities Establishment Act,61-12403
07-0761.02,20-377,5002(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-0761.02,20-449,5002(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-0761.02,20-424,5002(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-0761.05,20-424,5002(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-0761.05,20-377,5002(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-0761.05,20-449,5002(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-0761.06,20-377,5002(c),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-0761.06,20-424,5002(c),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-0761.06,20-449,5002(c),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-0761.07,20-449,5002(d),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-0761.07,20-377,5002(d),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-0761.07,20-424,5002(d),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-0761.12,20-377,5002(e),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-0761.12,20-449,5002(e),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-0761.12,20-424,5002(e),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
07-1141.07,20-377,5032,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-1141.07,20-424,5032,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-1141.07,20-449,5032,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-1142.01,20-539,4,PEND,Note,,,Behavioral Health System of Care Act,62-00231
07-1142.01 - .03,20-539,2(b),PEND,New Section,,,Behavioral Health System of Care Act,62-00231
07-1231.02,20-530,2(a),PEND,Amend,,,Conversion Therapy for Minors Prohibition Amendment Act,62-00007
07-1231.14a,20-530,2(b),PEND,New Section,,,Conversion Therapy for Minors Prohibition Amendment Act,62-00007
07-1671.01,20-443,2(a),PEND,Note,T,,Medical Marijuana Expansion Temporary Amendment Act of 2014,61-10753
07-1671.01,20-396,2(a),NA,Note,E,10/27/14,Medical Marijuana Expansion Emergency Amendment Act of 2014,61-08255
07-1671.01,20-479,2(a),NA,Note,E,01/25/15,Medical Marijuana Expansion Congressional Review Emergency Amendment Act of 2014,61-12129
07-1671.01,20-474,2(a),PEND,Amend,P,,Medical Marijuana Expansion Amendment Act,61-12119
07-1671.06,20-443,2(b),PEND,Note,T,,Medical Marijuana Expansion Temporary Amendment Act of 2014,61-10753
07-1671.06,20-479,2(b),NA,Note,E,01/25/15,Medical Marijuana Expansion Congressional Review Emergency Amendment Act of 2014,61-12129
07-1671.06,20-474,2(b),PEND,Amend,P,,Medical Marijuana Expansion Amendment Act,61-12119
07-1671.06,20-396,2(b),NA,Note,E,10/27/14,Medical Marijuana Expansion Emergency Amendment Act of 2014,61-08255
07-1702 et al.,20-377,7007,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-1702 et al.,20-424,7007,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-1702 et al.,20-449,7007,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-1803.05,20-424,5122,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-1803.05,20-449,5122,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-1803.05,20-377,5132,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-1811.01,20-481,255(a),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
07-1811.02,20-481,255(b),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
07-25.02.03,20-564,2(c),NA,Note,E,04/06/15,License to Carry a Pistol Second Emergency Amendment Act of 2014,62-00866
07-2502.01,20-564,2(a),NA,Note,E,04/06/15,License to Carry a Pistol Second Emergency Amendment Act of 2014,62-00866
07-2502.01,20-447,2(a),NA,Note,E,01/07/15,License to Carry a Pistol Emergency Amendment Act of 2014,61-10765
07-2502.01,20-462,2(a),PEND,Note,T,,License to Carry a Pistol Temporary Amendment Act of 2014,61-11814
07-2502.02,20-447,2(b),NA,Note,E,01/07/15,License to Carry a Pistol Emergency Amendment Act of 2014,61-10765
07-2502.02,20-462,2(b),PEND,Note,T,,License to Carry a Pistol Temporary Amendment Act of 2014,61-11814
07-2502.02,20-564,2(b),NA,Note,E,04/06/15,License to Carry a Pistol Second Emergency Amendment Act of 2014,62-00866
07-2502.11a,20-462,2(c),PEND,"Note, New Sec",T,,License to Carry a Pistol Temporary Amendment Act of 2014,61-11814
07-2502.11a,20-447,2(c),NA,"Note, New Sec",E,01/07/15,License to Carry a Pistol Emergency Amendment Act of 2014,61-10765
07-2502.11a,20-564,2(d),NA,"Note, New Sec",E,04/06/15,License to Carry a Pistol Second Emergency Amendment Act of 2014,62-00866
07-2504.08,20-424,3022(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-2504.08,20-449,3022(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-2504.08,20-377,3022(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-2505.03,20-449,3022(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
07-2505.03,20-377,3022(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
07-2505.03,20-424,3022(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
07-2507.06,20-564,2(e),NA,Note,E,04/06/15,License to Carry a Pistol Second Emergency Amendment Act of 2014,62-00866
07-2507.06,20-447,2(d),NA,Note,E,01/07/15,License to Carry a Pistol Emergency Amendment Act of 2014,61-10765
07-2507.06,20-462,2(d),PEND,Note,T,,License to Carry a Pistol Temporary Amendment Act of 2014,61-11814
07-2509.01,20-564,5,NA,Note,E,04/06/15,License to Carry a Pistol Second Emergency Amendment Act of 2014,62-00866
07-2509.01,20-447,4(b),NA,Note,E,01/07/15,License to Carry a Pistol Emergency Amendment Act of 2014,61-10765
07-2509.01,20-564,4(b),NA,Note,E,04/06/15,License to Carry a Pistol Second Emergency Amendment Act of 2014,62-00866
07-2509.01,20-448,2,NA,Note,E,01/07/15,Lic. to Carry a Pistol Clarification Emergency Amendment Act of 2014,61-10777
07-2509.01 - .10,20-462,2(e),PEND,"Note, New Sec",T,,License to Carry a Pistol Temporary Amendment Act of 2014,61-11814
07-2509.01 - .10,20-447,2(e),NA,"Note, New Sec",E,01/07/15,License to Carry a Pistol Emergency Amendment Act of 2014,61-10765
07-2509.01 - .11,20-564,2(f),NA,"Note, New Sec",E,04/06/15,License to Carry a Pistol Second Emergency Amendment Act of 2014,62-00866
07-2509.10,20-447,4(c),NA,Note,E,01/07/15,License to Carry a Pistol Emergency Amendment Act of 2014,61-10765
07-2509.10,20-564,4(c),NA,Note,E,04/06/15,License to Carry a Pistol Second Emergency Amendment Act of 2014,62-00866
07-2509.10,20-448,2,NA,Note,E,01/07/15,Lic. to Carry a Pistol Clarification Emergency Amendment Act of 2014,61-10777
07-3014,20-481,256,NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
08-0104.31,20-377,6102,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
08-0104.31,20-449,6092,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
08-0104.31,20-424,6092,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
08-0151.03,20-481,312,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
08-0233.01 - .06,20-501,2 - 7,PEND,New Section,,,Paint Stewardship Act of 2014,61-12587
08-0438.01,20-449,6042,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
08-0438.01,20-377,6052,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
08-0438.01,20-424,6042,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
08-0651.04,20-385,421,20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
08-0701,20-423,301(a),PEND,Repeal,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-0702,20-423,301(b),PEND,Repeal,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-0703,20-423,301(c),PEND,Repeal,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-0705 - 08-0710,20-423,301(d),PEND,Repeal,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-0711,20-423,301(e),PEND,Repeal,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-0751,20-538,201,PEND,New Section,,,Trash Compactor Tax Incentive Act,62-00227
08-0751,20-539,301(b),PEND,Note,,,Behavioral Health System of Care Act,62-00231
08-0802,20-423,201(a),PEND,Amend,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-0802,20-503,5,PEND,Amend,,,Public Space Enforcement Amendment Act of 2014,61-12690
08-0802,20-503,12(c),PEND,Note,,,Public Space Enforcement Amendment Act of 2014,61-12690
08-0807.01,20-423,201(b),PEND,Amend,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-0812,20-423,201(c),PEND,Amend,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-1001 - 08-1023,20-423,301(g),PEND,Repeal,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-1004,20-481,313(a),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
08-1008,20-481,313(b),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
08-1031.01 - .14,20-423,101 - 114,PEND,New Section,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-1031.03,20-423,401,PEND,Note,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-1041.01 - .12,20-423,115 - 126,PEND,New Section,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-1051 - 08-1063,20-423,,PEND,Recodify,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-1056,20-472,2,PEND,Amend,,,Solid Waste Facility Permit Amendment Act,61-12114
08-1102,20-423,301(f),PEND,Repeal,,,Sustainable Solid Waste Management  Amendment Act,61-09971
08-1525.02,20-385,411(a),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
08-1525.03,20-385,411(b),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
08-1525.04,20-385,411(c),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
08-1525.05,20-385,411(d),20-142,Repeal,,,Sustainable DC Omnibus Act,61-08045
08-1525.06,20-385,411(e),20-142,Repeal,,,Sustainable DC Omnibus Act,61-08045
08-1525.07,20-385,411(f),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
08-1525.08,20-385,411(g),20-142,Repeal,,,Sustainable DC Omnibus Act,61-08045
08-1525.09,20-385,411(h),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
08-1531,20-385,401,20-142,New Section,,,Sustainable DC Omnibus Act,61-08045
08-1532,20-385,402,20-142,New Section,,,Sustainable DC Omnibus Act,61-08045
08-1533,20-385,403,20-142,New Section,,,Sustainable DC Omnibus Act,61-08045
08-1533,20-385,502,20-142,Note,,,Sustainable DC Omnibus Act,61-08045
08-1534,20-385,502,20-142,Note,,,Sustainable DC Omnibus Act,61-08045
08-1534,20-385,404,20-142,New Section,,,Sustainable DC Omnibus Act,61-08045
08-1535,20-385,502,20-142,Note,,,Sustainable DC Omnibus Act,61-08045
08-1535,20-385,405,20-142,New Section,,,Sustainable DC Omnibus Act,61-08045
08-1536,20-385,406,20-142,New Section,,,Sustainable DC Omnibus Act,61-08045
08-1537,20-385,407,20-142,New Section,,,Sustainable DC Omnibus Act,61-08045
08-1706,20-481,257,NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
08-1773.01,20-449,2102(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
08-1773.01,20-385,101(a),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
08-1773.01,20-385,502,20-142,Note,,,Sustainable DC Omnibus Act,61-08045
08-1773.01,20-424,2102(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
08-1773.01,20-377,2102(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
08-1774.01,20-377,6072(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
08-1774.01,20-424,6062(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
08-1774.01,20-449,6062(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
08-1774.02,20-424,6062(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
08-1774.02,20-377,6072(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
08-1774.02,20-449,6062(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
08-1774.07,20-385,101(b),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
08-1774.07,20-385,502,20-142,Note,,,Sustainable DC Omnibus Act,61-08045
08-1774.08,20-385,502,20-142,Note,,,Sustainable DC Omnibus Act,61-08045
08-1774.08,20-385,101(c),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
08-1774.10,20-449,6062(c),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
08-1774.10,20-377,6072(c),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
08-1774.10,20-424,6062(c),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
08-1774.11,20-449,2102(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
08-1774.11,20-377,2102(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
08-1774.11,20-424,2102(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
08-1774.15,20-449,2102(c),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
08-1774.15,20-424,2102(c),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
08-1774.15,20-377,2102(c),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
08-2201 - 08-2212,20-449,7008,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
08-2201 - 08-2212,20-377,7008,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
08-2201 - 08-2212,20-424,7008,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
09-0204.01,20-466,2,PEND,Note,,,Bishop Iola B. Cunningham Way Designation Act,61-11832
09-0204.01,20-471,2,PEND,Note,,,N Street Village Way,61-12112
09-0204.01,20-414,2,NA,Note,E,10/30/14,Chuck Brown Memorial Commemorative Work Emergency Act of 2014,61-08308
09-0204.01,20-517,2,PEND,Amend,,,Lawrence Guyot Way Designation,61-13079
09-0204.01,20-463,2,PEND,Note,P,,Zion Baptist Church Way Designation Act,61-11826
09-0204.01,20-533,3,PEND,Note,,,D.C. No Taxation Without Representation Way Designation Act of 2014,62-00014
09-0204.01,20-468,2,PEND,Note,,,Nap Turner Way Designation Act,61-11836
09-0204.01,20-546,2,NA,Note,E,03/30/15,Legacy Memorial Park Commemorative Work Emergency Approval Act of 2014,62-00250
09-0204.01,20-431,2,NA,Note,E,01/05/15,Carter G. Woodson Memorial Commemorative Work Emergency Approval Act of 2014,61-10709
09-0204.01,20-518,2,PEND,Amend,,,Percy Battle Way Designation Act,61-13081
09-0204.03a,20-432,2,NA,Note,E,01/05/15,Zion Baptist Church Way Emergency Designation Act of 2014,61-10711
09-0601,20-515,2(a),PEND,Amend,,,Winter Sidewalk Safety Amendment Act,61-13074
